latitude,longitude,price_per_gallon,name
46.991318,-122.650701,4.147,Hub corridor stop (0-2)
46.127149,-122.310282,3.491,Hub corridor stop (0-2)
45.330539,-122.342868,2.736,Hub corridor stop (0-2)
44.806988,-122.743674,2.859,Hub corridor stop (0-2)
44.014095,-122.069361,2.935,Hub corridor stop (0-2)
43.086695,-122.255822,4.830,Hub corridor stop (0-2)
42.547896,-122.470484,4.895,Hub corridor stop (0-2)
41.390028,-122.061858,3.316,Hub corridor stop (0-2)
40.671895,-122.735451,3.360,Hub corridor stop (0-2)
40.355700,-122.685794,3.988,Hub corridor stop (0-2)
39.445147,-122.520274,3.910,Hub corridor stop (0-2)
38.255356,-122.808775,3.124,Hub corridor stop (0-2)
47.054780,-122.192847,3.373,Hub corridor stop (0-3)
46.039613,-121.883626,3.339,Hub corridor stop (0-3)
45.101466,-121.335325,3.211,Hub corridor stop (0-3)
43.863177,-121.164671,4.663,Hub corridor stop (0-3)
42.887372,-121.051132,4.904,Hub corridor stop (0-3)
41.375086,-120.606893,4.391,Hub corridor stop (0-3)
40.314509,-120.216065,2.740,Hub corridor stop (0-3)
39.591551,-119.640946,3.968,Hub corridor stop (0-3)
38.652314,-119.719615,4.249,Hub corridor stop (0-3)
37.371219,-119.153010,3.699,Hub corridor stop (0-3)
36.458817,-118.497631,3.740,Hub corridor stop (0-3)
35.251427,-118.966170,4.263,Hub corridor stop (0-3)
46.964665,-121.629764,4.540,Hub corridor stop (0-4)
45.668557,-121.814368,4.188,Hub corridor stop (0-4)
44.293894,-121.332374,3.037,Hub corridor stop (0-4)
43.168827,-121.281161,4.417,Hub corridor stop (0-4)
41.986158,-120.697687,3.549,Hub corridor stop (0-4)
41.314375,-120.434337,3.683,Hub corridor stop (0-4)
39.897748,-119.298135,4.534,Hub corridor stop (0-4)
38.926689,-119.428921,3.605,Hub corridor stop (0-4)
37.381800,-118.470046,4.853,Hub corridor stop (0-4)
36.045065,-118.693544,3.184,Hub corridor stop (0-4)
34.911515,-118.001994,4.005,Hub corridor stop (0-4)
33.740863,-118.021096,3.614,Hub corridor stop (0-4)
46.942863,-121.912778,4.842,Hub corridor stop (0-5)
46.367190,-121.455082,4.070,Hub corridor stop (0-5)
45.442280,-121.295046,4.719,Hub corridor stop (0-5)
44.600015,-119.981194,4.485,Hub corridor stop (0-5)
43.413797,-119.833791,2.888,Hub corridor stop (0-5)
42.668231,-119.561465,2.805,Hub corridor stop (0-5)
41.455458,-118.896031,3.432,Hub corridor stop (0-5)
40.431223,-118.466510,2.998,Hub corridor stop (0-5)
39.550541,-117.564087,2.709,Hub corridor stop (0-5)
39.176645,-116.763290,2.992,Hub corridor stop (0-5)
37.826288,-116.427917,3.488,Hub corridor stop (0-5)
36.820794,-115.401141,4.934,Hub corridor stop (0-5)
47.189043,-121.479559,2.848,Hub corridor stop (0-6)
46.383691,-120.392712,3.259,Hub corridor stop (0-6)
46.262999,-119.168445,2.703,Hub corridor stop (0-6)
45.719130,-117.450964,2.987,Hub corridor stop (0-6)
44.804301,-116.514714,3.865,Hub corridor stop (0-6)
44.479671,-114.374715,4.251,Hub corridor stop (0-6)
43.348141,-113.434334,3.034,Hub corridor stop (0-6)
43.076357,-111.897687,4.442,Hub corridor stop (0-6)
42.137405,-110.788938,4.516,Hub corridor stop (0-6)
41.966728,-108.834966,4.504,Hub corridor stop (0-6)
41.220753,-107.549102,3.172,Hub corridor stop (0-6)
40.380907,-106.507638,2.717,Hub corridor stop (0-6)
47.144336,-121.077268,3.246,Hub corridor stop (0-7)
47.425557,-118.433184,3.679,Hub corridor stop (0-7)
47.386435,-116.079446,4.847,Hub corridor stop (0-7)
46.775493,-114.444896,3.172,Hub corridor stop (0-7)
46.447670,-112.134008,4.085,Hub corridor stop (0-7)
46.729920,-109.236184,3.753,Hub corridor stop (0-7)
46.346517,-106.947529,2.845,Hub corridor stop (0-7)
46.141570,-104.523041,4.449,Hub corridor stop (0-7)
45.993986,-102.586243,3.061,Hub corridor stop (0-7)
45.811011,-100.391839,4.492,Hub corridor stop (0-7)
45.728504,-98.009481,3.573,Hub corridor stop (0-7)
45.500830,-95.388049,3.041,Hub corridor stop (0-7)
47.058722,-120.910949,4.731,Hub corridor stop (0-8)
47.133379,-118.486267,4.551,Hub corridor stop (0-8)
46.796794,-115.250099,3.456,Hub corridor stop (0-8)
46.036394,-112.947571,2.683,Hub corridor stop (0-8)
45.873707,-109.704565,3.861,Hub corridor stop (0-8)
45.389373,-107.122660,4.655,Hub corridor stop (0-8)
44.855897,-104.546966,3.229,Hub corridor stop (0-8)
44.024417,-101.744235,3.999,Hub corridor stop (0-8)
43.542647,-98.807425,2.951,Hub corridor stop (0-8)
43.539856,-96.089946,3.704,Hub corridor stop (0-8)
42.852940,-92.818301,3.617,Hub corridor stop (0-8)
42.628753,-90.404500,3.873,Hub corridor stop (0-8)
47.358915,-120.800951,3.662,Hub corridor stop (0-9)
46.751400,-118.064205,4.488,Hub corridor stop (0-9)
46.321883,-114.498696,4.318,Hub corridor stop (0-9)
46.168789,-111.488552,3.842,Hub corridor stop (0-9)
45.746081,-107.933187,2.894,Hub corridor stop (0-9)
45.327495,-105.272483,3.287,Hub corridor stop (0-9)
45.053887,-101.896281,3.942,Hub corridor stop (0-9)
44.623315,-98.389081,3.669,Hub corridor stop (0-9)
44.098106,-95.612418,3.828,Hub corridor stop (0-9)
43.732264,-92.517401,3.877,Hub corridor stop (0-9)
43.159993,-88.934257,4.258,Hub corridor stop (0-9)
43.016959,-85.790741,3.247,Hub corridor stop (0-9)
47.222535,-120.545485,4.582,Hub corridor stop (0-10)
46.331414,-119.342220,3.667,Hub corridor stop (0-10)
45.605682,-117.014825,2.818,Hub corridor stop (0-10)
45.343011,-114.305578,4.713,Hub corridor stop (0-10)
44.301973,-112.146332,4.169,Hub corridor stop (0-10)
43.613425,-109.776010,4.875,Hub corridor stop (0-10)
42.986531,-107.493026,3.566,Hub corridor stop (0-10)
42.493383,-105.239116,4.565,Hub corridor stop (0-10)
41.584806,-103.521350,3.836,Hub corridor stop (0-10)
41.028641,-101.513270,3.383,Hub corridor stop (0-10)
40.616246,-99.451625,3.924,Hub corridor stop (0-10)
39.738541,-97.232606,3.412,Hub corridor stop (0-10)
46.800659,-120.972949,2.798,Hub corridor stop (0-11)
45.804262,-118.837097,4.885,Hub corridor stop (0-11)
43.760386,-117.150632,2.741,Hub corridor stop (0-11)
42.804674,-114.989255,2.948,Hub corridor stop (0-11)
41.127290,-112.255400,4.534,Hub corridor stop (0-11)
39.585074,-110.784257,4.764,Hub corridor stop (0-11)
38.375800,-108.131328,2.856,Hub corridor stop (0-11)
36.588989,-105.985335,3.628,Hub corridor stop (0-11)
35.171746,-103.603221,4.109,Hub corridor stop (0-11)
34.254532,-102.215384,4.619,Hub corridor stop (0-11)
32.312364,-99.357271,3.694,Hub corridor stop (0-11)
31.075470,-97.479026,4.781,Hub corridor stop (0-11)
46.702227,-121.389043,3.862,Hub corridor stop (0-12)
45.643565,-119.619382,3.021,Hub corridor stop (0-12)
44.325566,-117.493489,3.368,Hub corridor stop (0-12)
43.317444,-114.948724,3.317,Hub corridor stop (0-12)
42.267642,-113.429354,3.448,Hub corridor stop (0-12)
40.743934,-111.321252,2.685,Hub corridor stop (0-12)
40.058016,-109.007904,3.086,Hub corridor stop (0-12)
38.690832,-106.619861,2.894,Hub corridor stop (0-12)
37.745384,-105.029272,3.789,Hub corridor stop (0-12)
36.570010,-103.021647,3.815,Hub corridor stop (0-12)
35.280839,-100.448420,3.438,Hub corridor stop (0-12)
34.195661,-98.653755,4.113,Hub corridor stop (0-12)
46.447263,-120.362288,2.775,Hub corridor stop (0-13)
44.725733,-117.661613,4.354,Hub corridor stop (0-13)
43.066216,-114.207118,2.844,Hub corridor stop (0-13)
41.728628,-110.199332,4.192,Hub corridor stop (0-13)
39.589533,-107.393600,3.324,Hub corridor stop (0-13)
37.966237,-104.098588,3.675,Hub corridor stop (0-13)
36.081330,-100.003536,4.887,Hub corridor stop (0-13)
34.532451,-97.277918,4.871,Hub corridor stop (0-13)
32.618624,-93.805770,2.652,Hub corridor stop (0-13)
30.921519,-90.328293,3.806,Hub corridor stop (0-13)
29.047506,-86.929986,2.661,Hub corridor stop (0-13)
27.344178,-83.932246,3.569,Hub corridor stop (0-13)
46.592507,-120.864650,3.350,Hub corridor stop (0-14)
45.756303,-117.701783,3.867,Hub corridor stop (0-14)
45.010138,-114.601491,4.297,Hub corridor stop (0-14)
43.991547,-111.807187,3.400,Hub corridor stop (0-14)
42.956918,-108.987707,4.316,Hub corridor stop (0-14)
41.609286,-106.047287,4.571,Hub corridor stop (0-14)
40.674816,-102.486569,4.338,Hub corridor stop (0-14)
39.510433,-99.890263,3.855,Hub corridor stop (0-14)
38.186364,-96.228668,4.501,Hub corridor stop (0-14)
37.303214,-93.418929,4.704,Hub corridor stop (0-14)
36.094179,-90.285062,3.179,Hub corridor stop (0-14)
34.529388,-87.753744,3.480,Hub corridor stop (0-14)
46.894692,-119.765101,3.935,Hub corridor stop (0-15)
46.651757,-116.783072,4.216,Hub corridor stop (0-15)
45.858906,-113.720077,4.485,Hub corridor stop (0-15)
45.344266,-109.646770,3.881,Hub corridor stop (0-15)
44.586070,-106.416383,4.345,Hub corridor stop (0-15)
43.605175,-102.785207,3.261,Hub corridor stop (0-15)
43.243255,-99.043900,4.352,Hub corridor stop (0-15)
42.719815,-95.160426,3.530,Hub corridor stop (0-15)
41.676187,-91.366037,4.414,Hub corridor stop (0-15)
41.076842,-87.779261,2.828,Hub corridor stop (0-15)
40.052238,-84.505586,4.359,Hub corridor stop (0-15)
39.466212,-80.599530,2.679,Hub corridor stop (0-15)
46.953993,-120.123900,4.196,Hub corridor stop (0-16)
46.913522,-116.374831,3.319,Hub corridor stop (0-16)
46.239095,-112.698683,3.723,Hub corridor stop (0-16)
45.409000,-108.446495,3.108,Hub corridor stop (0-16)
45.459264,-104.542075,2.690,Hub corridor stop (0-16)
44.544384,-100.780708,4.877,Hub corridor stop (0-16)
43.986248,-97.410736,3.133,Hub corridor stop (0-16)
43.782071,-93.596802,3.987,Hub corridor stop (0-16)
42.667906,-89.448693,4.841,Hub corridor stop (0-16)
42.110040,-85.316069,3.820,Hub corridor stop (0-16)
42.086548,-81.555173,3.182,Hub corridor stop (0-16)
41.542666,-77.884561,2.707,Hub corridor stop (0-16)
46.996408,-119.775914,3.687,Hub corridor stop (0-17)
46.838034,-116.502680,3.441,Hub corridor stop (0-17)
46.428235,-111.771252,2.654,Hub corridor stop (0-17)
46.312806,-107.670404,2.926,Hub corridor stop (0-17)
46.016083,-103.682027,4.724,Hub corridor stop (0-17)
45.150799,-99.886892,3.554,Hub corridor stop (0-17)
45.227383,-95.589777,3.480,Hub corridor stop (0-17)
44.408177,-91.770540,2.761,Hub corridor stop (0-17)
43.760049,-87.165116,3.307,Hub corridor stop (0-17)
43.924077,-83.590076,3.261,Hub corridor stop (0-17)
43.207150,-79.541748,3.509,Hub corridor stop (0-17)
43.099104,-74.814916,4.518,Hub corridor stop (0-17)
47.315147,-119.601674,4.814,Hub corridor stop (0-18)
46.722228,-116.474457,2.764,Hub corridor stop (0-18)
46.238127,-112.942946,4.381,Hub corridor stop (0-18)
45.564335,-109.317781,2.763,Hub corridor stop (0-18)
45.149648,-105.687436,3.736,Hub corridor stop (0-18)
44.129180,-101.760669,4.350,Hub corridor stop (0-18)
43.959735,-98.021160,4.159,Hub corridor stop (0-18)
42.874625,-93.980370,3.557,Hub corridor stop (0-18)
42.168885,-90.563117,3.128,Hub corridor stop (0-18)
42.073636,-86.487888,3.156,Hub corridor stop (0-18)
41.461558,-82.265076,3.685,Hub corridor stop (0-18)
40.312605,-79.215386,2.859,Hub corridor stop (0-18)
44.831419,-122.824680,3.200,Hub corridor stop (1-3)
43.970490,-122.083580,4.691,Hub corridor stop (1-3)
43.397360,-121.869957,3.602,Hub corridor stop (1-3)
42.322478,-121.547505,3.428,Hub corridor stop (1-3)
41.081962,-121.282143,4.876,Hub corridor stop (1-3)
40.209592,-120.724076,4.098,Hub corridor stop (1-3)
